PMID,TI,JT
22848422,"Tenofovir use and renal insufficiency among pregnant and general adult population of HIV-infected, ART-naive individuals in Lilongwe, Malawi.",PloS one
22845835,Adoption of new HIV treatment guidelines and drug substitutions within first-line as a measure of quality of care in rural Lesotho: health centers and hospitals compared.,Tropical medicine & international health : TM & IH
22809695,Could early antiretroviral therapy entail more risks than benefits in sub-Saharan African HIV-infected adults? A model-based analysis.,Antiviral therapy
22797689,Effect of trichomoniasis therapy on genital HIV viral burden among African women.,Sexually transmitted diseases
22789644,The Tingathe programme: a pilot intervention using community health workers to create a continuum of care in the prevention of mother to child transmission of HIV (PMTCT) cascade of services in Malawi.,Journal of the International AIDS Society
22778537,"Awareness and interest in intrauterine contraceptive device use among HIV-positive women in Cape Town, South Africa.",Infectious diseases in obstetrics and gynecology
22761924,"Rethinking the ""pre"" in pre-therapy counseling: no benefit of additional visits prior to therapy on adherence or viremia in Ugandans initiating ARVs.",PloS one
22747578,The make or buy debate: considering the limitations of domestic production in Tanzania.,Globalization and health
26591757,"A case-control study of factors associated with non-adherent to antiretroviral therapy among HIV infected people in Pwani Region, eastern Tanzania.",Tanzania journal of health research
22743597,Effect of baseline immune suppression on growth recovery in HIV positive South African children receiving antiretroviral treatment.,Journal of acquired immune deficiency syndromes (1999)
22739391,Treatment outcomes after 7 years of public-sector HIV treatment.,"AIDS (London, England)"
22739389,High rate of K65R for antiretroviral therapy-naive patients with subtype C HIV infection failing a tenofovir-containing first-line regimen.,"AIDS (London, England)"
22723960,Rifampicin for continuation phase tuberculosis treatment in Uganda: a cost-effectiveness analysis.,PloS one
22719231,Nevirapine- versus lopinavir/ritonavir-based initial therapy for HIV-1 infection among women in Africa: a randomized trial.,PLoS medicine
22715988,Preventing HIV by providing support for orphan girls to stay in school: does religion matter?,Ethnicity & health
22713255,Community adherence support improves programme retention in children on antiretroviral treatment: a multicentre cohort study in South Africa.,Journal of the International AIDS Society
22695297,Cost-effectiveness of laboratory monitoring for management of HIV treatment in sub-Saharan Africa: a model-based analysis.,"AIDS (London, England)"
22692700,Treatment failure among Kenyan children with severe pneumonia--a cohort study.,The Pediatric infectious disease journal
22691870,Missed opportunities for accessing HIV care among Tshwane tuberculosis patients under different models of care.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22687498,Operationalizing early antiretroviral therapy in HIV-infected in-patients with opportunistic infections including tuberculosis.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22685569,"Association of adherence support and outreach services with total attrition, loss to follow-up, and death among ART patients in sub-Saharan Africa.",PloS one
22676150,Evaluating the competing risks of HIV acquisition and maternal mortality in Africa: a decision analysis.,BJOG : an international journal of obstetrics and gynaecology
22672627,Use of service data to inform pediatric HIV-free survival following prevention of mother-to-child transmission programs in rural Malawi.,BMC public health
22669142,"Increased risk of mortality and loss to follow-up among HIV-positive patients with oropharyngeal candidiasis and malnutrition before antiretroviral therapy initiation: a retrospective analysis from a large urban cohort in Johannesburg, South Africa.","Oral surgery, oral medicine, oral pathology and oral radiology"
22668951,Burden of antituberculosis and antiretroviral drug-induced liver injury at a secondary hospital in South Africa.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
22661489,"Improved neuropsychological and neurological functioning across three antiretroviral regimens in diverse resource-limited settings: AIDS Clinical Trials Group study a5199, the International Neurological Study.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
22629356,Outcomes of comprehensive care for children empirically treated for multidrug-resistant tuberculosis in a setting of high HIV prevalence.,PloS one
22622076,Return to normal life after AIDS as a reason for lost to follow-up in a community-based antiretroviral treatment program.,Journal of acquired immune deficiency syndromes (1999)
22618567,Frequent emergence of N348I in HIV-1 subtype C reverse transcriptase with failure of initial therapy reduces susceptibility to reverse-transcriptase inhibitors.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
22606361,"Iron status predicts treatment failure and mortality in tuberculosis patients: a prospective cohort study from Dar es Salaam, Tanzania.",PloS one
22593775,"A pharmacovigilance study of adults on highly active antiretroviral therapy, South Africa: 2007 - 2011.",The Pan African medical journal
22584100,"Trends in drug-resistant tuberculosis in a gold-mining workforce in South Africa, 2002-2008.",The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22583610,"The evolving epidemic of drug-resistant tuberculosis among children in Cape Town, South Africa.",The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22573849,"Virological failure and drug resistance in patients on antiretroviral therapy after treatment interruption in Lilongwe, Malawi.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
22544204,Prevalence of HIV drug resistance before and 1 year after treatment initiation in 4 sites in the Malawi antiretroviral treatment program.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
22544203,A retrospective survey of HIV drug resistance among patients 1 year after initiation of antiretroviral therapy at 4 clinics in Malawi.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
22544194,Monitoring of early warning indicators for HIV drug resistance in antiretroviral therapy clinics in Zimbabwe.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
22554341,Clinical practice guidelines for management of neuropathic pain: expert panel recommendations for South Africa.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
22545751,Response to antiretroviral therapy of HIV type 1-infected children in urban and rural settings of Uganda.,AIDS research and human retroviruses
22541418,Maternal and infant antiretroviral regimens to prevent postnatal HIV-1 transmission: 48-week follow-up of the BAN randomised controlled trial.,"Lancet (London, England)"
22528477,"Prevalence of peripheral neuropathy in antiretroviral therapy naive HIV-positive patients and the impact on treatment outcomes--a retrospective study from a large urban cohort in Johannesburg, South Africa.",Journal of neurovirology
22526520,The prognostic value of baseline CD4(+) cell count beyond 6 months of antiretroviral therapy in HIV-positive patients in a resource-limited setting.,"AIDS (London, England)"
22518871,Early diagnosis of in utero and intrapartum HIV infection in infants prior to 6 weeks of age.,Journal of clinical microbiology
22497664,"Genetic diversity and naturally polymorphisms in HIV type 1 integrase isolates from Maputo, Mozambique: implications for integrase inhibitors.",AIDS research and human retroviruses
26591732,"Low sputum smear positive tuberculosis among pulmonary tuberculosis suspects in a tertiary hospital in Mwanza, Tanzania.",Tanzania journal of health research
22448003,Second-line antiretroviral treatment successfully resuppresses drug-resistant HIV-1 after first-line failure: prospective cohort in Sub-Saharan Africa.,The Journal of infectious diseases
22443282,"Antiretroviral drug susceptibility among HIV-infected adults failing antiretroviral therapy in Rakai, Uganda.",AIDS research and human retroviruses
22427925,"Not all are lost: interrupted laboratory monitoring, early death, and loss to follow-up (LTFU) in a large South African treatment program.",PloS one
22427869,An observational cohort comparison of facilitators of retention in care and adherence to anti-eetroviral therapy at an HIV treatment center in Kenya.,PloS one
22427821,Virologic failure of protease inhibitor-based second-line antiretroviral therapy without resistance in a large HIV treatment program in South Africa.,PloS one
22424722,"Switching children previously exposed to nevirapine to nevirapine-based treatment after initial suppression with a protease-inhibitor-based regimen: long-term follow-up of a randomised, open-label trial.",The Lancet. Infectious diseases
22416813,Elevated alanine aminotransferase in antiretroviral-naive HIV-infected African patients: magnitude and risk factors.,HIV medicine
22414588,Effects of a reduced dose of stavudine on the incidence and severity of peripheral neuropathy in HIV-infected adults in South Africa.,Antiviral therapy
22410312,Effectiveness and safety of 30 mg versus 40 mg stavudine regimens: a cohort study among HIV-infected adults initiating HAART in South Africa.,Journal of the International AIDS Society
22394050,Linking women who test HIV-positive in pregnancy-related services to long-term HIV care and treatment services: a systematic review.,Tropical medicine & international health : TM & IH
22384061,Comparison of methods to correct survival estimates and survival regression analysis on a large HIV African cohort.,PloS one
22363550,Gender differences in immune reconstitution: a multicentric cohort analysis in sub-Saharan Africa.,PloS one
22350730,Process and outcome evaluation of a community intervention for orphan adolescents in western Kenya.,Journal of community health
22344763,HIV sero-positivity in recently admitted and long-term psychiatric in-patients: prevalence and diagnostic profile.,African journal of psychiatry
22343964,Genotype assays and third-line ART in resource-limited settings: a simulation and cost-effectiveness analysis of a planned clinical trial.,"AIDS (London, England)"
22340703,A clinician-nurse model to reduce early mortality and increase clinic retention among high-risk HIV-infected patients initiating combination antiretroviral treatment.,Journal of the International AIDS Society
22327246,Prognostic value of virological and immunological responses after 6 months of antiretroviral treatment in adults with HIV-1 infection in sub-Saharan Africa.,Journal of acquired immune deficiency syndromes (1999)
22306557,A causal framework for understanding the effect of losses to follow-up on epidemiologic analyses in clinic-based cohorts: the case of HIV-infected patients on antiretroviral therapy in Africa.,American journal of epidemiology
22296211,"Earlier initiation of antiretroviral therapy, increased tuberculosis case finding and reduced mortality in a setting of improved HIV care: a retrospective cohort study.",HIV medicine
22293461,Low rates of nucleoside reverse transcriptase inhibitor resistance in a well-monitored cohort in South Africa on antiretroviral therapy.,Antiviral therapy
22292411,Rapid psychosocial function screening test identified treatment failure in HIV+ African youth.,AIDS care
22288313,"Prevalence of paediatric HIV infection in Federal Capital Territory, Abuja.",Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria
22273267,Treatment outcomes in HIV-infected adolescents attending a community-based antiretroviral therapy clinic in South Africa.,BMC infectious diseases
22269974,Regional differences in predictive accuracy of WHO immunologic failure criteria.,"AIDS (London, England)"
22262677,Predictors of attrition among children born in a PMTCT programme in Zimbabwe followed up over 5 years.,Journal of tropical pediatrics
22251009,Primary drug resistance in South Africa: data from 10 years of surveys.,AIDS research and human retroviruses
22240426,Resistance patterns of Mycobacterium tuberculosis isolates from pulmonary tuberculosis patients in Nairobi.,Journal of infection in developing countries
22224411,Task-shifting to community health workers: evaluation of the performance of a peer-led model in an antiretroviral program in Uganda.,AIDS patient care and STDs
22220193,Early mortality in adults initiating antiretroviral therapy (ART) in low- and middle-income countries (LMIC): a systematic review and meta-analysis.,PloS one
22205933,Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: the effect of the competing risk of death in Zambia and Switzerland.,PloS one
22194804,"Re-treatment tuberculosis cases categorised as ""other"": are they properly managed?",PloS one
22156912,Excellent clinical outcomes and high retention in care among adults in a community-based HIV treatment program in rural Rwanda.,Journal of acquired immune deficiency syndromes (1999)
22154974,Loss to follow up from isoniazid preventive therapy among adults attending HIV voluntary counseling and testing sites in Uganda.,Transactions of the Royal Society of Tropical Medicine and Hygiene
22152173,Economics of switching to second-line antiretroviral therapy with lopinavir/ritonavir in Africa: estimates based on DART trial results and costs for Uganda and Kenya.,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research
22134152,Lipid profiles in young HIV-infected children initiating and changing antiretroviral therapy.,Journal of acquired immune deficiency syndromes (1999)
22134144,Similar mortality and reduced loss to follow-up in integrated compared with vertical programs providing antiretroviral treatment in sub-saharan Africa.,Journal of acquired immune deficiency syndromes (1999)
22118174,"Impact of smear microscopy results and observed therapy on tuberculosis treatment in Mombasa, Kenya.",The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22118173,Outcomes of reintroducing anti-tuberculosis drugs following cutaneous adverse drug reactions.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22107170,"Participation, characteristics and retention rates of HIV-positive immigrants in the Swiss HIV Cohort Study.",HIV medicine
22096054,"An evaluation of the early effects of a combination antiretroviral therapy programme on the management of AIDS-associated Kaposi's sarcoma in KwaZulu-Natal, South Africa.",International journal of STD & AIDS
22085598,It is time to consider third-line options in antiretroviral-experienced paediatric patients?,Journal of the International AIDS Society
22050673,Male gender predicts mortality in a large cohort of patients receiving antiretroviral therapy in Uganda.,Journal of the International AIDS Society
22039960,"Practices to improve identification of adult antiretroviral therapy failure at the Lighthouse Trust clinic in Lilongwe, Malawi.",Tropical medicine & international health : TM & IH
22036233,"Effect of pretreatment HIV-1 drug resistance on immunological, virological, and drug-resistance outcomes of first-line antiretroviral treatment in sub-Saharan Africa: a multicentre cohort study.",The Lancet. Infectious diseases
22029430,Problem-solving therapy for depression and common mental disorders in Zimbabwe: piloting a task-shifting primary mental health care intervention in a population with a high prevalence of people living with HIV.,BMC public health
22027877,"Loss to follow-up and mortality among HIV-infected people co-infected with TB at ART initiation in Durban, South Africa.",Journal of acquired immune deficiency syndromes (1999)
22027872,Long-term impact of the Kenya postelection crisis on clinic attendance and medication adherence for HIV-infected children in western Kenya.,Journal of acquired immune deficiency syndromes (1999)
22010915,Integration of antiretroviral therapy with tuberculosis treatment.,The New England journal of medicine
21998178,Antiretroviral treatment in the private sector in Namibia.,International journal of STD & AIDS
21997488,Outcomes of stable HIV-positive patients down-referred from a doctor-managed antiretroviral therapy clinic to a nurse-managed primary health clinic for monitoring and treatment.,"AIDS (London, England)"
21972264,"Reverse transcriptase genotypes in pediatric patients failing initial antiretroviral therapy in Gaborone, Botswana.","Journal of the International Association of Physicians in AIDS Care (Chicago, Ill. : 2002)"
21967844,Antiretroviral drug supply challenges in the era of scaling up ART in Malawi.,Journal of the International AIDS Society
21951656,Effect of point-of-care CD4 cell count tests on retention of patients and rates of antiretroviral therapy initiation in primary health clinics: an observational cohort study.,"Lancet (London, England)"
21933038,Effectiveness of a sports-based HIV prevention intervention in the Dominican Republic: a quasi-experimental study.,AIDS care
21906291,"Factors associated with default from treatment among tuberculosis patients in Nairobi province, Kenya: a case control study.",BMC public health
21900717,Early outcomes and the virological effect of delayed treatment switching to second-line therapy in an antiretroviral roll-out programme in South Africa.,Antiviral therapy
21883726,Benefit of viral load testing for confirmation of immunological failure in HIV patients treated in rural Malawi.,Tropical medicine & international health : TM & IH
21881481,Impact of CD8+ T-cell activation on CD4+ T-cell recovery and mortality in HIV-infected Ugandans initiating antiretroviral therapy.,"AIDS (London, England)"
21857290,"Optimizing antiretroviral product selection: a sample approach to improving patient outcomes, saving money, and scaling-up health services in developing countries.",Journal of acquired immune deficiency syndromes (1999)
21860346,Scale-up of antiretroviral treatment in sub-Saharan Africa is accompanied by increasing HIV-1 drug resistance mutations in drug-naive patients.,"AIDS (London, England)"
21857353,"Loss to follow-up of stable antiretroviral therapy patients in a decentralized down-referral model of care in Johannesburg, South Africa.",Journal of acquired immune deficiency syndromes (1999)
21846344,Barriers to antiretroviral therapy adherence in rural Mozambique.,BMC public health
21837793,"Antiretroviral resistance patterns and factors associated with resistance in adult patients failing NNRTI-based regimens in the Western Cape, South Africa.",Journal of medical virology
21831116,"Antiretroviral treatment uptake and attrition among HIV-positive patients with tuberculosis in Kibera, Kenya.",Tropical medicine & international health : TM & IH
21829650,Pregnancy and virologic response to antiretroviral therapy in South Africa.,PloS one
21819219,Accumulation of HIV drug resistance mutations in patients failing first-line antiretroviral treatment in South Africa.,AIDS research and human retroviruses
21818265,Retention in care and connection to care among HIV-infected patients on antiretroviral therapy in Africa: estimation via a sampling-based approach.,PloS one
21813864,"Prevalence of hepatitis B and hepatitis C coinfections in an adult HIV centre population in Gaborone, Botswana.",The American journal of tropical medicine and hygiene
21811402,Treatment outcomes and cost-effectiveness of shifting management of stable ART patients to nurses in South Africa: an observational cohort.,PLoS medicine
21802367,HIV-1 drug resistance in antiretroviral-naive individuals in sub-Saharan Africa after rollout of antiretroviral therapy: a multicentre observational study.,The Lancet. Infectious diseases
21799728,Outcomes of multi-drug resistant tuberculosis (MDR-TB) among a cohort of South African patients with high HIV prevalence.,PloS one
21798798,Efficient monitoring of HIV-1 vertically infected children in Kenya on first-line antiretroviral therapy.,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology
21791095,Immunovirological response to combined antiretroviral therapy and drug resistance patterns in children: 1- and 2-year outcomes in rural Uganda.,BMC pediatrics
21786730,"Loss to follow-up in a community clinic in South Africa--roles of gender, pregnancy and CD4 count.",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
21781419,Adherence to tablet and liquid formulations of antiretroviral medication for paediatric HIV treatment at an urban clinic in Uganda.,Annals of tropical paediatrics
21768555,Life expectancy of persons receiving combination antiretroviral therapy in low-income countries: a cohort analysis from Uganda.,Annals of internal medicine
21764384,"Accuracy of the Xpert MTB/RIF test for the diagnosis of pulmonary tuberculosis in children admitted to hospital in Cape Town, South Africa: a descriptive study.",The Lancet. Infectious diseases
21739285,"Electronic medical records and same day patient tracing improves clinic efficiency and adherence to appointments in a community based HIV/AIDS care program, in Uganda.",AIDS and behavior
21724219,"Retention and attrition during the preparation phase and after start of antiretroviral treatment in Thyolo, Malawi, and Kibera, Kenya: implications for programmes?",Transactions of the Royal Society of Tropical Medicine and Hygiene
21698283,Early mortality and AIDS progression despite high initial antiretroviral therapy adherence and virologic suppression in Botswana.,PloS one
21698125,"Surveillance of transmitted antiretroviral drug resistance among HIV-1 infected women attending antenatal clinics in Chitungwiza, Zimbabwe.",PloS one
21694603,Unnecessary antiretroviral treatment switches and accumulation of HIV resistance mutations; two arguments for viral load monitoring in Africa.,Journal of acquired immune deficiency syndromes (1999)
21685549,Lactic acidosis and symptomatic hyperlactataemia in a randomized trial of first-line therapy in HIV-infected adults in South Africa.,Antiviral therapy
21681092,Treatment strategies for Kaposi sarcoma in sub-Saharan Africa: challenges and opportunities.,Current opinion in oncology
21673562,Implementation of free cotrimoxazole prophylaxis improves clinic retention among antiretroviral therapy-ineligible clients in Kenya.,"AIDS (London, England)"
21673555,Development and validation of systems for rational use of viral load testing in adults receiving first-line ART in sub-Saharan Africa.,"AIDS (London, England)"
21673195,"Mortality and treatment failure among HIV-infected adults in Dar Es Salaam, Tanzania.","Journal of the International Association of Physicians in AIDS Care (Chicago, Ill. : 2002)"
21646902,"Relationship between renal dysfunction, nephrotoxicity and death among HIV adults on tenofovir.","AIDS (London, England)"
21633285,HIV-1 drug resistance at antiretroviral treatment initiation in children previously exposed to single-dose nevirapine.,"AIDS (London, England)"
21611117,Incidence and risk factors of serious adverse events during antituberculous treatment in Rwanda: a prospective cohort study.,PloS one
21602696,Effect of nonnucleoside reverse transcriptase inhibitor-based antiretroviral therapy on dysglycemia and insulin sensitivity in South African HIV-infected patients.,Journal of acquired immune deficiency syndromes (1999)
21575155,The net cost of incorporating resistance testing into HIV/AIDS treatment in South Africa: a Markov model with primary data.,Journal of the International AIDS Society
21572852,Hepatotoxicity from first line antiretroviral therapy: an experience from a resource limited setting.,African health sciences
21572304,Renal dysfunction among HIV-infected patients starting antiretroviral therapy.,"AIDS (London, England)"
21559441,Survival of HIV-infected adolescents on antiretroviral therapy in Uganda: findings from a nationally representative cohort in Uganda.,PloS one
21559280,Factors influencing retention in care after starting antiretroviral therapy in a rural South African programme.,PloS one
21546830,Strengthening health systems through HIV monitoring and evaluation in Sub-Saharan Africa.,Current opinion in HIV and AIDS
21541021,Risk factors for non-adherence and loss to follow-up in a three-year clinical trial in Botswana.,PloS one
21533031,"Excellent adherence to antiretrovirals in HIV+ Zambian children is compromised by disrupted routine, HIV nondisclosure, and paradoxical income effects.",PloS one
21526620,Antiretroviral drug resistance--implications for HIV/AIDS reduction in sub-Saharan Africa and other developing countries.,Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria
21511317,"Implementation and outcomes of an active defaulter tracing system for HIV, prevention of mother to child transmission of HIV (PMTCT), and TB patients in Kibera, Nairobi, Kenya.",Transactions of the Royal Society of Tropical Medicine and Hygiene
21507477,"Feasibility, diagnostic accuracy, and effectiveness of decentralised use of the Xpert MTB/RIF test for diagnosis of tuberculosis and multidrug resistance: a multicentre implementation study.","Lancet (London, England)"
21505309,Sex differences in antiretroviral treatment outcomes among HIV-infected adults in an urban Tanzanian setting.,"AIDS (London, England)"
21504595,Improved antiretroviral treatment outcome in a rural African setting is associated with cART initiation at higher CD4 cell counts and better general health condition.,BMC infectious diseases
21501814,Keeping adolescent orphans in school to prevent human immunodeficiency virus infection: evidence from a randomized controlled trial in Kenya.,The Journal of adolescent health : official publication of the Society for Adolescent Medicine
21493943,Supporting adolescent orphan girls to stay in school as HIV risk prevention: evidence from a randomized controlled trial in Zimbabwe.,American journal of public health
21488705,Fatal toxicity from symptomatic hyperlactataemia: a retrospective cohort study of factors implicated with long-term nucleoside reverse transcriptase inhibitor use in a South African hospital.,Drug safety
21414276,Mother-to-child transmission of HIV in a community-based antiretroviral clinic in South Africa.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
21408071,Adherence to drug-refill is a useful early warning indicator of virologic and immunologic failure among HIV patients on first-line ART in South Africa.,PloS one
21407085,"""Wamepotea"" (they have become lost): outcomes of HIV-positive and HIV-exposed children lost to follow-up from a large HIV treatment program in western Kenya.",Journal of acquired immune deficiency syndromes (1999)
21390262,A randomized controlled trial comparing the effects of counseling and alarm device on HAART adherence and virologic outcomes.,PLoS medicine
21373194,Prevalence of potential drug-drug interactions involving antiretroviral drugs in a large Kenyan cohort.,PloS one
21345162,Rapid development of antiretroviral drug resistance mutations in HIV-infected children less than two years of age initiating protease inhibitor-based therapy in South Africa.,AIDS research and human retroviruses
21334262,"Glycerol adjuvant therapy in adults with bacterial meningitis in a high HIV seroprevalence setting in Malawi: a double-blind, randomised controlled trial.",The Lancet. Infectious diseases
21330903,Mortality by baseline CD4 cell count among HIV patients initiating antiretroviral therapy: evidence from a large cohort in Uganda.,"AIDS (London, England)"
21317587,"Scale-up and continuation of antiretroviral therapy in South African treatment programs, 2005-2009.",Journal of acquired immune deficiency syndromes (1999)
21311115,"Multi-nucleoside reverse transcriptase inhibitor resistant HIV type-1 in a patient from Sierra Leone failing stavudine, lamivudine and nevirapine.",Antiviral therapy
21306608,A biregional survey and review of first-line treatment failure and second-line paediatric antiretroviral access and use in Asia and southern Africa.,Journal of the International AIDS Society
21306485,"Demographic characteristics and opportunistic diseases associated with attrition during preparation for antiretroviral therapy in primary health centres in Kibera, Kenya.",Tropical medicine & international health : TM & IH
21293984,The consequences of post-election violence on antiretroviral HIV therapy in Kenya.,AIDS care
21293199,First-line antiretroviral therapy after single-dose nevirapine exposure in South Africa: a cost-effectiveness analysis of the OCTANE trial.,"AIDS (London, England)"
21269475,"High prevalence of childhood multi-drug resistant tuberculosis in Johannesburg, South Africa: a cross sectional study.",BMC infectious diseases
21267057,Correcting mortality for loss to follow-up: a nomogram applied to antiretroviral treatment programmes in sub-Saharan Africa.,PLoS medicine
21266912,"Predictors of successful early infant diagnosis of HIV in a rural district hospital in Zambezia, Mozambique.",Journal of acquired immune deficiency syndromes (1999)
21264224,Density of healthcare providers and patient outcomes: evidence from a nationally representative multi-site HIV treatment program in Uganda.,PloS one
21262784,HIV priorities and health distributions in a rural region in Tanzania: a qualitative study.,Journal of medical ethics
21253585,"Culture conversion among HIV co-infected multidrug-resistant tuberculosis patients in Tugela Ferry, South Africa.",PloS one
21239995,Low lopinavir plasma or hair concentrations explain second-line protease inhibitor failures in a resource-limited setting.,Journal of acquired immune deficiency syndromes (1999)
21226795,"Drug dispensing practices during implementation of artemisinin-based combination therapy at health facilities in rural Tanzania, 2002-2005.",Tropical medicine & international health : TM & IH
21225916,Kaposi sarcoma in South African children.,Pediatric blood & cancer
21218279,Switch to second-line ART in West African routine care: incidence and reasons for switching.,AIDS care
21213034,Dynamics and constraints of early infant diagnosis of HIV infection in Rural Kenya.,AIDS and behavior
21209951,Predictors of multidrug- and extensively drug-resistant tuberculosis in a high HIV prevalence community.,PloS one
24968596,Reverse transcriptase inhibitors drug resistance mutations in drug-naive HIV type 1 positive Kenyans.,East African medical journal
21152392,Adjusting mortality for loss to follow-up: analysis of five ART programmes in sub-Saharan Africa.,PloS one
21151570,"Age at menarche, schooling, and sexual debut in northern Malawi.",PloS one
21134297,The importance of clinic attendance in the first six months on antiretroviral treatment: a retrospective analysis at a large public sector HIV clinic in South Africa.,Journal of the International AIDS Society
21124202,Cost-effectiveness of antiretroviral regimens in the World Health Organization's treatment guidelines: a South African analysis.,"AIDS (London, England)"
21115444,HIV-1 drug resistance testing from dried blood spots collected in rural Tanzania using the ViroSeq HIV-1 Genotyping System.,The Journal of antimicrobial chemotherapy
21108804,Increased vulnerability of rural children on antiretroviral therapy attending public health facilities in South Africa: a retrospective cohort study.,Journal of the International AIDS Society
21085569,"Epidemic levels of drug resistant tuberculosis (MDR and XDR-TB) in a high HIV prevalence setting in Khayelitsha, South Africa.",PloS one
21073441,Do HIV-Infected Immigrants Initiating HAART have Poorer Treatment-Related Outcomes than Autochthonous Patients in Spain? Results of the GESIDA 5808 Study.,Current HIV research
21072191,"Linkage to HIV care and antiretroviral therapy in Cape Town, South Africa.",PloS one
21049045,Long-term adherence to antiretroviral treatment and program drop-out in a high-risk urban setting in sub-Saharan Africa: a prospective cohort study.,PloS one
21047391,Baseline severe anaemia should not preclude use of zidovudine in antiretroviral-eligible patients in resource-limited settings.,Journal of the International AIDS Society
21045634,Central nervous system disorders after starting antiretroviral therapy in South Africa.,"AIDS (London, England)"
21041915,HIV type-1 drug resistance testing on dried blood spots is feasible and reliable in patients who fail antiretroviral therapy in rural Tanzania.,Antiviral therapy
20980868,"Early initiation of antiretroviral therapy and associated reduction in mortality, morbidity and defaulting in a nurse-managed, community cohort in Lesotho.","AIDS (London, England)"
20976211,"Impact of drug stock-outs on death and retention to care among HIV-infected patients on combination antiretroviral therapy in Abidjan, Cote d'Ivoire.",PloS one
20954839,"Prevalence of genotypic resistance to antiretroviral drugs in treatment-naive youths infected with diverse HIV type 1 subtypes and recombinant forms in Dar es Salaam, Tanzania.",AIDS research and human retroviruses
20942650,A randomized factorial trial comparing 4 treatment regimens in treatment-naive HIV-infected persons with AIDS and/or a CD4 cell count <200 cells/muL in South Africa.,The Journal of infectious diseases
20931065,"Expansion of antiretroviral treatment to rural health centre level by a mobile service in Mumbwa district, Zambia.",Bulletin of the World Health Organization
20889521,BCG vaccination status may predict sputum conversion in patients with pulmonary tuberculosis: a new consideration for an old vaccine?,Thorax
20889176,"Lost to follow up from tuberculosis treatment in an urban informal settlement (Kibera), Nairobi, Kenya: what are the rates and determinants?",Transactions of the Royal Society of Tropical Medicine and Hygiene
20885282,Extended antenatal antiretroviral use correlates with improved infant outcomes throughout the first year of life.,"AIDS (London, England)"
20865073,Influence of gender on loss to follow-up in a large HIV treatment programme in western Kenya.,Bulletin of the World Health Organization
20861741,Stavudine toxicity in women is the main reason for treatment change in a 3-year prospective cohort of adult patients started on first-line antiretroviral treatment in Uganda.,Journal of acquired immune deficiency syndromes (1999)
20849650,Health worker performance in the management of paediatric fevers following in-service training and exposure to job aids in Kenya.,Malaria journal
20845636,Antiretroviral drug resistance--implications for HIV/AIDS reduction in sub-Saharan Africa and other developing countries.,Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria
20841732,"Using a file audit to evaluate retention in care and patient outcomes in a programme to decentralise antiretroviral treatment to primary health care facilities in a high prevalence setting in KwaZulu-Natal, South Africa.",Studies in health technology and informatics
20838224,Population-based monitoring of HIV drug resistance in Namibia with early warning indicators.,Journal of acquired immune deficiency syndromes (1999)
20823434,Reuse of nevirapine in exposed HIV-infected children after protease inhibitor-based viral suppression: a randomized controlled trial.,JAMA
20807685,Staff attrition among community health workers in home-based care programmes for people living with HIV and AIDS in western Kenya.,"Health policy (Amsterdam, Netherlands)"
20707728,Short communication: Severe symptomatic hyperlactatemia among HIV type 1-infected adults on antiretroviral therapy in Cote d'Ivoire.,AIDS research and human retroviruses
20696960,Comparative effectiveness of HIV testing and treatment in highly endemic regions.,Archives of internal medicine
20686411,Evolution of drug resistance during 48 weeks of zidovudine/lamivudine/tenofovir in the absence of real-time viral load monitoring.,Journal of acquired immune deficiency syndromes (1999)
20680124,"Scale-up of a decentralized HIV treatment programme in rural KwaZulu-Natal, South Africa: does rapid expansion affect patient outcomes?",Bulletin of the World Health Organization
20673355,Secular trends in pediatric antiretroviral treatment programs in rural and urban Zambia: a retrospective cohort study.,BMC pediatrics
20660209,Development and application of a broadly sensitive dried-blood-spot-based genotyping assay for global surveillance of HIV-1 drug resistance.,Journal of clinical microbiology
